restaurant,category,item_name,description,options,tags,spice_level,state,address,contact_info
,Indian,,,,"['Gluten-free', 'Vegetarian']",,,,
,Indian,,,,['Gluten-free'],,,,
,Indian,,,,"['Dairy-free', 'Gluten-free', 'Vegetarian']",,,,
,Indian,,,,"['Dairy-free', 'Gluten-free', 'Plant-based', 'Vegetarian']",,,,
,Indian,,,,"['Dairy-free', 'Gluten-free']",,,,
,Indian,,,,"['Dairy-free', 'Gluten-free']",,,,
,Indian,,,,"['Gluten-free', 'Vegetarian']",,,,
,Indian,,,,"['Gluten-free', 'Vegetarian']",,,,
,Indian,,,,"['Dairy-free', 'Gluten-free']",,,,
,Indian,,,,"['Dairy-free', 'Gluten-free', 'Plant-based', 'Vegetarian']",,,,
,Indian,,,,['Gluten-free'],,,,
,Indian,,,,['Gluten-free'],,,,
,Thai,,,,"['Gluten-free', 'Non-GMO', 'Vegan', 'Vegetarian']",,,,
,Thai,,,,"['Gluten-free', 'Non-GMO', 'Vegan', 'Vegetarian']",,,,
,Thai,,,,"['Gluten-free', 'Non-GMO', 'Vegan', 'Vegetarian']",,,,
,Thai,,,,"['Gluten-free', 'Non-GMO']",,,,
,Thai,,,,"['Gluten-free', 'Non-GMO']",,,,
,Thai,,,,"['Gluten-free', 'Non-GMO', 'Vegan', 'Vegetarian']",,,,
,Thai,,,,"['Non-GMO', 'Vegan', 'Vegetarian']",,,,
,Thai,,,,"['Gluten-free', 'Non-GMO', 'Vegan', 'Vegetarian']",,,,
,Thai,,,,"['Non-GMO', 'Vegan', 'Vegetarian']",,,,
,Thai,,,,"['Gluten-free', 'Non-GMO', 'Vegan', 'Vegetarian']",,,,
,Thai,,,,"['Gluten-free', 'Non-GMO', 'Vegan', 'Vegetarian']",,,,
,Latin,,,,"['Gluten-free', 'Non-GMO', 'Vegan', 'Vegetarian']",,,,
,Latin,,,,"['Gluten-free', 'Non-GMO', 'Vegan', 'Vegetarian']",,,,
,Latin,,,,"['Gluten-free', 'Non-GMO', 'Vegetarian']",,,,
,Latin,,,,"['Gluten-free', 'Non-GMO']",,,,
,Latin,,,,"['Gluten-free', 'Non-GMO']",,,,
,Latin,,,,"['Gluten-free', 'Non-GMO', 'Vegan', 'Vegetarian']",,,,
,Latin,,,,"['Gluten-free', 'Non-GMO']",,,,
,Latin,,,,"['Gluten-free', 'Non-GMO', 'Vegetarian']",,,,
,Latin,,,,"['Gluten-free', 'Non-GMO', 'Vegan', 'Vegetarian']",,,,
,Latin,,,,"['Gluten-free', 'Non-GMO', 'Vegan', 'Vegetarian']",,,,
,Signature and Alternative Solutions,,,,"['Gluten-free', 'Non-GMO', 'Vegan', 'Vegetarian']",,,,
,Signature and Alternative Solutions,,,,"['Non-GMO', 'Vegan', 'Vegetarian']",,,,
,Signature and Alternative Solutions,,,,"['Gluten-free', 'Non-GMO', 'Vegan', 'Vegetarian']",,,,
